Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,2050.0,0.0,5.0,2.0,7.0
Portugal,515.0,0.0,0.0,0.0,34.0
Spain,3125.0,0.0,11.0,2.0,0.0
United States,2316.0,0.0,4.0,34.0,6.0
Canada,604.0,9.0,1.0,2.0,0.0
Sweden,77.0,0.0,0.0,0.0,0.0
Italy,374.0,1.0,18.0,19.0,4.0
France,1448.0,0.0,1.0,2.0,1.0
Belgium,311.0,1.0,2.0,1.0,0.0
Australia,41.0,0.0,2.0,8.0,0.0
Germany,2191.0,0.0,18.0,19.0,16.0
Netherlands,712.0,0.0,0.0,1.0,0.0
Israel,105.0,0.0,3.0,5.0,0.0
Switzerland,216.0,0.0,0.0,3.0,0.0
Greece,20.0,0.0,2.0,2.0,0.0
Austria,83.0,0.0,2.0,1.0,0.0
Argentina,13.0,0.0,0.0,11.0,1.0
Denmark,48.0,0.0,0.0,3.0,1.0
Morocco,1.0,0.0,0.0,1.0,0.0
Slovenia,27.0,0.0,0.0,2.0,0.0
Scotland,51.0,0.0,1.0,1.0,0.0
Czech Republic,12.0,0.0,1.0,3.0,0.0
United Arab Emirates,13.0,0.0,0.0,1.0,0.0
Finland,13.0,0.0,0.0,3.0,0.0
Wales,23.0,0.0,0.0,0.0,0.0
Northern Ireland,13.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,1.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,2.0,0.0,2.0,1.0,0.0
Malta,9.0,0.0,0.0,1.0,0.0
Ireland,69.0,0.0,0.0,0.0,0.0
Mexico,40.0,0.0,0.0,2.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,0.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Peru,126.0,1.0,1.0,2.0,0.0
Brazil,607.0,7.0,2.0,20.0,4.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,30.0,0.0,0.0,0.0,0.0
Norway,46.0,0.0,0.0,3.0,0.0
Paraguay,0.0,0.0,0.0,1.0,0.0
Costa Rica,1.0,0.0,1.0,2.0,0.0
Gibraltar,5.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,1.0,0.0,0.0,0.0
Uruguay,0.0,1.0,0.0,4.0,0.0
Latvia,2.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,0.0,1.0,0.0,0.0
Turkey,1.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,1.0,0.0
Ghana,18.0,0.0,0.0,0.0,0.0
India,2.0,0.0,1.0,2.0,0.0
Iceland,6.0,0.0,0.0,1.0,0.0
Poland,28.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,1.0,0.0,0.0,1.0,0.0
Romania,19.0,0.0,6.0,0.0,0.0
Georgia,1.0,0.0,0.0,0.0,0.0
Slovakia,1.0,0.0,1.0,1.0,0.0
Luxembourg,8.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,1.0,1.0,0.0
Chile,26.0,2.0,2.0,2.0,0.0
Serbia,1.0,0.0,0.0,0.0,0.0
Lebanon,1.0,0.0,0.0,1.0,0.0
South Korea,1.0,0.0,1.0,1.0,0.0
Singapore,6.0,0.0,3.0,2.0,0.0
South Africa,3.0,0.0,0.0,1.0,2.0
Taiwan,2.0,0.0,1.0,2.0,0.0
Colombia,10.0,0.0,0.0,3.0,0.0
Croatia,6.0,0.0,0.0,1.0,0.0
Bulgaria,3.0,0.0,0.0,2.0,0.0
Somalia,0.0,3.0,3.0,1.0,0.0
Zambia,0.0,1.0,0.0,1.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0
Benin,3.0,0.0,0.0,2.0,1.0
Estonia,4.0,0.0,0.0,1.0,0.0
Puerto Rico,8.0,0.0,0.0,6.0,0.0
Panama,1.0,0.0,0.0,0.0,0.0
Dominican Republic,3.0,0.0,2.0,1.0,0.0
Jamaica,1.0,0.0,0.0,1.0,0.0
New Zealand,2.0,0.0,0.0,2.0,0.0
Russia,1.0,0.0,0.0,1.0,0.0
Bosnia And Herzegovina,1.0,0.0,0.0,0.0,0.0
Saudi Arabia,1.0,0.0,1.0,1.0,0.0
Martinique,1.0,0.0,0.0,1.0,0.0
Barbados,1.0,0.0,0.0,0.0,0.0
Nigeria,101.0,200.0,0.0,0.0,0.0
Democratic Republic Of The Congo,107.0,1369.0,0.0,0.0,0.0
Central African Republic,8.0,9.0,0.0,0.0,0.0
Republic of Congo,2.0,5.0,0.0,0.0,0.0
Cameroon,6.0,25.0,0.0,0.0,0.0
Liberia,0.0,4.0,0.0,0.0,0.0
Sierra Leone,0.0,2.0,0.0,0.0,0.0
